date,cases
2020-01-21,1
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,3
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,5
2020-01-30,6
2020-01-31,7
2020-02-01,8
2020-02-02,11
2020-02-03,11
2020-02-04,11
2020-02-05,12
2020-02-06,12
2020-02-07,12
2020-02-08,12
2020-02-09,12
2020-02-10,13
2020-02-11,13
2020-02-12,14
2020-02-13,15
2020-02-14,15
2020-02-15,15
2020-02-16,15
2020-02-17,25
2020-02-18,25
2020-02-19,25
2020-02-20,27
2020-02-21,30
2020-02-22,30
2020-02-23,30
2020-02-24,43
2020-02-25,45
2020-02-26,60
2020-02-27,60
2020-02-28,65
2020-02-29,70
2020-03-01,88
2020-03-02,104
2020-03-03,125
2020-03-04,161
2020-03-05,228
2020-03-06,311
2020-03-07,428
2020-03-08,547
2020-03-09,748
2020-03-10,1018
2020-03-11,1263
2020-03-12,1668
2020-03-13,2224
2020-03-14,2898
2020-03-15,3600
2020-03-16,4507
2020-03-17,5906
2020-03-18,8350
2020-03-19,12393
2020-03-20,18012
2020-03-21,24528
2020-03-22,33073
2020-03-23,43505
2020-03-24,53938
2020-03-25,68572
2020-03-26,85570
2020-03-27,102900
2020-03-28,123966
2020-03-29,142486
2020-03-30,163955
2020-03-31,188461
2020-04-01,215391
2020-04-02,245108
2020-04-03,277426
2020-04-04,312525
2020-04-05,338141
2020-04-06,369057
2020-04-07,399394
2020-04-08,431214
2020-04-09,465913
2020-04-10,499386
2020-04-11,531106
2020-04-12,558249
2020-04-13,584018
2020-04-14,610709
2020-04-15,640742
2020-04-16,672355
2020-04-17,703864
2020-04-18,732262
2020-04-19,757596
2020-04-20,784991
2020-04-21,810505
2020-04-22,839336
2020-04-23,873112
2020-04-24,909853
2020-04-25,944261
2020-04-26,970996
2020-04-27,994193
2020-04-28,1018844
2020-04-29,1045399
2020-04-30,1075756
2020-05-01,1109726
2020-05-02,1139200
2020-05-03,1165340
2020-05-04,1187302
2020-05-05,1211011
2020-05-06,1235517
2020-05-07,1263995
2020-05-08,1291643
2020-05-09,1316511
2020-05-10,1336828
2020-05-11,1354449
2020-05-12,1376749
2020-05-13,1397894
2020-05-14,1424856
2020-05-15,1451093
2020-05-16,1474752
2020-05-17,1493766
2020-05-18,1515593
2020-05-19,1536570
2020-05-20,1559640
2020-05-21,1585373
2020-05-22,1609172
2020-05-23,1631440
2020-05-24,1651471
2020-05-25,1670571
2020-05-26,1689467
2020-05-27,1708211
2020-05-28,1730723
2020-05-29,1755271
2020-05-30,1778668
2020-05-31,1799302
2020-06-01,1821199
2020-06-02,1841990
2020-06-03,1861977
2020-06-04,1883593
2020-06-05,1912302
2020-06-06,1934818
2020-06-07,1953434
2020-06-08,1971641
2020-06-09,1990446
2020-06-10,2013298
2020-06-11,2036500
2020-06-12,2061993
2020-06-13,2087327
2020-06-14,2106457
2020-06-15,2126574
2020-06-16,2151459
2020-06-17,2177114
2020-06-18,2205173
2020-06-19,2236009
2020-06-20,2268034
2020-06-21,2294413
2020-06-22,2324879
2020-06-23,2359939
2020-06-24,2396928
2020-06-25,2438101
2020-06-26,2483629
2020-06-27,2525928
2020-06-28,2565436
2020-06-29,2604932
2020-06-30,2653321
2020-07-01,2703296
2020-07-02,2758855
2020-07-03,2816009
2020-07-04,2866015
2020-07-05,2910782
2020-07-06,2958098
2020-07-07,3012182
2020-07-08,3071637
2020-07-09,3131526
2020-07-10,3199753
2020-07-11,3260474
2020-07-12,3318279
2020-07-13,3379846
2020-07-14,3445448
2020-07-15,3513790
2020-07-16,3589477
2020-07-17,3660400
2020-07-18,3722851
2020-07-19,3785126
2020-07-20,3845014
2020-07-21,3910291
2020-07-22,3980030
2020-07-23,4050036
2020-07-24,4123561
2020-07-25,4190337
2020-07-26,4244554
2020-07-27,4303735
2020-07-28,4366851
2020-07-29,4433633
2020-07-30,4502581
2020-07-31,4571669
2020-08-01,4628497
2020-08-02,4679291
2020-08-03,4726775
2020-08-04,4780324
2020-08-05,4834047
2020-08-06,4891561
2020-08-07,4952718
2020-08-08,5007958
2020-08-09,5056438
2020-08-10,5103611
2020-08-11,5156968
2020-08-12,5211246
2020-08-13,5265307
2020-08-14,5324784
2020-08-15,5375527
2020-08-16,5417664
2020-08-17,5455187
2020-08-18,5498420
2020-08-19,5541433
2020-08-20,5587462
2020-08-21,5636491
2020-08-22,5681517
2020-08-23,5713850
2020-08-24,5754254
2020-08-25,5793437
2020-08-26,5838756
2020-08-27,5884368
2020-08-28,5930932
2020-08-29,5975541
2020-08-30,6008970
2020-08-31,6045457
2020-09-01,6089506
2020-09-02,6121950
2020-09-03,6168347
2020-09-04,6220448
2020-09-05,6262701
2020-09-06,6292699
2020-09-07,6317865
2020-09-08,6346807
2020-09-09,6380139
2020-09-10,6418200
2020-09-11,6465767
2020-09-12,6504871
2020-09-13,6538214
2020-09-14,6575101
2020-09-15,6614318
2020-09-16,6653586
2020-09-17,6698896
2020-09-18,6747783
2020-09-19,6789594
2020-09-20,6825950
2020-09-21,6880902
2020-09-22,6918293
2020-09-23,6959842
2020-09-24,7005046
2020-09-25,7059627
2020-09-26,7102322
2020-09-27,7139620
2020-09-28,7176980
2020-09-29,7220677
2020-09-30,7262735
2020-10-01,7309153
2020-10-02,7362733
2020-10-03,7410512
2020-10-04,7445575
2020-10-05,7507988
2020-10-06,7550850
2020-10-07,7603867
2020-10-08,7660249
2020-10-09,7719211
2020-10-10,7770859
2020-10-11,7815642
2020-10-12,7863658
2020-10-13,7918051
2020-10-14,7977904
2020-10-15,8043257
2020-10-16,8113721
2020-10-17,8166482
2020-10-18,8214364
2020-10-19,8279804
2020-10-20,8340398
2020-10-21,8404635
2020-10-22,8479765
2020-10-23,8565062
2020-10-24,8643641
2020-10-25,8703356
2020-10-26,8777994
2020-10-27,8852381
2020-10-28,8934263
2020-10-29,9024932
2020-10-30,9124800
2020-10-31,9209007
2020-11-01,9283202
2020-11-02,9377208
2020-11-03,9469624
2020-11-04,9577702
2020-11-05,9699051
2020-11-06,9831874
2020-11-07,9957805
2020-11-08,10061218
2020-11-09,10191667
2020-11-10,10331417
2020-11-11,10474295
2020-11-12,10637946
2020-11-13,10819442
2020-11-14,10978475
2020-11-15,11113661
2020-11-16,11280224
2020-11-17,11441855
2020-11-18,11614135
2020-11-19,11801643
2020-11-20,12000502
2020-11-21,12172435
2020-11-22,12313229
2020-11-23,12492852
2020-11-24,12670710
2020-11-25,12851300
2020-11-26,12954294
2020-11-27,13160133
2020-11-28,13311541
2020-11-29,13447663
2020-11-30,13615321
2020-12-01,13799549
2020-12-02,14000721
2020-12-03,14218459
2020-12-04,14449827
2020-12-05,14655535
2020-12-06,14827456
2020-12-07,15031979
2020-12-08,15251693
2020-12-09,15471409
2020-12-10,15696634
2020-12-11,15977147
2020-12-12,16184679
2020-12-13,16368898
2020-12-14,16569783
2020-12-15,16772936
2020-12-16,17017763
2020-12-17,17255472
2020-12-18,17506662
2020-12-19,17700567
2020-12-20,17880478
2020-12-21,18081996
2020-12-22,18283633
2020-12-23,18511396
2020-12-24,18704907
2020-12-25,18805838
2020-12-26,19022699
2020-12-27,19174788
2020-12-28,19363798
2020-12-29,19564828
2020-12-30,19793777
2020-12-31,20024801
2021-01-01,20172049
2021-01-02,20463659
2021-01-03,20665439
2021-01-04,20917269
2021-01-05,21152285
2021-01-06,21408251
2021-01-07,21688585
2021-01-08,21989362
2021-01-09,22241281
2021-01-10,22449576
2021-01-11,22675892
2021-01-12,22905869
2021-01-13,23135194
2021-01-14,23374716
2021-01-15,23614569
2021-01-16,23816762
2021-01-17,23986856
2021-01-18,24127989
2021-01-19,24314933
2021-01-20,24500421
2021-01-21,24690903
2021-01-22,24882468
2021-01-23,25050385
2021-01-24,25180061
2021-01-25,25336637
2021-01-26,25487275
2021-01-27,25643045
2021-01-28,25809220
2021-01-29,25973835
2021-01-30,26107635
2021-01-31,26221430
2021-02-01,26363284
2021-02-02,26478540
2021-02-03,26598723
2021-02-04,26724359
2021-02-05,26853860
2021-02-06,26958807
2021-02-07,27046088
2021-02-08,27139070
2021-02-09,27235460
2021-02-10,27330435
2021-02-11,27436075
2021-02-12,27535702
2021-02-13,27620354
2021-02-14,27684134
2021-02-15,27739406
2021-02-16,27803946
2021-02-17,27874107
2021-02-18,27945898
2021-02-19,28023910
2021-02-20,28093630
2021-02-21,28148810
2021-02-22,28208276
2021-02-23,28280189
2021-02-24,28354383
2021-02-25,28432264
2021-02-26,28510582
2021-02-27,28573256
2021-02-28,28624161
2021-03-01,28680857
2021-03-02,28738501
2021-03-03,28805113
2021-03-04,28872395
2021-03-05,28938090
2021-03-06,28994675
2021-03-07,29034739
2021-03-08,29129252
2021-03-09,29185151
2021-03-10,29243346
2021-03-11,29305733
2021-03-12,29369899
2021-03-13,29419456
2021-03-14,29457445
2021-03-15,29514609
2021-03-16,29569140
2021-03-17,29628071
2021-03-18,29688541
2021-03-19,29749164
2021-03-20,29803589
2021-03-21,29837782
2021-03-22,29892498
2021-03-23,29949244
2021-03-24,30029147
2021-03-25,30098263
2021-03-26,30172762
2021-03-27,30233462
2021-03-28,30277977
2021-03-29,30348716
2021-03-30,30410950
2021-03-31,30478886
2021-04-01,30556079
2021-04-02,30624668
2021-04-03,30688804
2021-04-04,30725627
2021-04-05,30802221
2021-04-06,30864193
2021-04-07,30937283
2021-04-08,31017741
2021-04-09,31099323
2021-04-10,31164081
2021-04-11,31212058
2021-04-12,31283990
2021-04-13,31361311
2021-04-14,31437061
2021-04-15,31510755
2021-04-16,31589109
2021-04-17,31642983
2021-04-18,31684382
2021-04-19,31754642
2021-04-20,31815666
2021-04-21,31878161
2021-04-22,31944402
2021-04-23,32008186
2021-04-24,32058654
2021-04-25,32092245
2021-04-26,32139580
2021-04-27,32191457
2021-04-28,32246275
2021-04-29,32303857
2021-04-30,32362374
2021-05-01,32407133
2021-05-02,32436765
2021-05-03,32486709
2021-05-04,32527664
2021-05-05,32572383
2021-05-06,32620077
2021-05-07,32667570
2021-05-08,32701236
2021-05-09,32723564
2021-05-10,32760121
2021-05-11,32794162
2021-05-12,32829645
2021-05-13,32868084
2021-05-14,32909065
2021-05-15,32938115
2021-05-16,32954825
2021-05-17,32984032
2021-05-18,33011895
2021-05-19,33040689
2021-05-20,33070307
2021-05-21,33099318
2021-05-22,33117634
2021-05-23,33131784
2021-05-24,33157412
2021-05-25,33180250
2021-05-26,33203636
2021-05-27,33231383
2021-05-28,33253407
2021-05-29,33264967
2021-05-30,33272409
2021-05-31,33277912
2021-06-01,33300482
2021-06-02,33317340
2021-06-03,33336811
2021-06-04,33312812
2021-06-05,33323260
2021-06-06,33329413
2021-06-07,33348865
2021-06-08,33363050
2021-06-09,33383714
2021-06-10,33399513
2021-06-11,33416340
2021-06-12,33424619
2021-06-13,33431406
2021-06-14,33446525
2021-06-15,33458397
2021-06-16,33472808
2021-06-17,33484995
2021-06-18,33497695
2021-06-19,33505275
2021-06-20,33509338
2021-06-21,33525182
2021-06-22,33537943
2021-06-23,33551974
2021-06-24,33566669
2021-06-25,33581632
2021-06-26,33588423
2021-06-27,33592510
2021-06-28,33608058
2021-06-29,33623787
2021-06-30,33639764
2021-07-01,33704723
2021-07-02,33725159
2021-07-03,33729152
2021-07-04,33732074
2021-07-05,33736665
2021-07-06,33763742
2021-07-07,33793961
2021-07-08,33843194
2021-07-09,33878529
2021-07-10,33886287
2021-07-11,33891830
2021-07-12,33927213
2021-07-13,33970195
2021-07-14,34008250
2021-07-15,34044268
2021-07-16,34096492
2021-07-17,34108937
2021-07-18,34117964
2021-07-19,34177146
2021-07-20,34239257
2021-07-21,34299048
2021-07-22,34364548
2021-07-23,34447610
2021-07-24,34469200
2021-07-25,34483033
2021-07-26,34576119
2021-07-27,34682937
2021-07-28,34767898
2021-07-29,34866192
2021-07-30,34988866
2021-07-31,35018564
2021-08-01,35041458
2021-08-02,35177628
2021-08-03,35327939
2021-08-04,35440283
2021-08-05,35567255
2021-08-06,35735606
2021-08-07,35777721
2021-08-08,35813789
2021-08-09,35992480
2021-08-10,36154571
2021-08-11,36310148
2021-08-12,36448857
2021-08-13,36636249
2021-08-14,36686066
2021-08-15,36729884
2021-08-16,36989377
2021-08-17,37133674
2021-08-18,37298285
2021-08-19,37458037
2021-08-20,37657643
2021-08-21,37737034
2021-08-22,37777607
2021-08-23,38043754
2021-08-24,38193951
2021-08-25,38364887
2021-08-26,38552648
2021-08-27,38748559
2021-08-28,38833818
2021-08-29,38875976
2021-08-30,39156379
2021-08-31,39316629
2021-09-01,39527624
2021-09-02,39703320
2021-09-03,39894795
2021-09-04,39960849
2021-09-05,40005266
2021-09-06,40082242
2021-09-07,40383380
2021-09-08,40567569
2021-09-09,40738140
2021-09-10,40914456
2021-09-11,40988382
2021-09-12,41027940
2021-09-13,41312998
2021-09-14,41465694
2021-09-15,41635889
2021-09-16,41790772
2021-09-17,41957710
2021-09-18,42025890
2021-09-19,42065846
2021-09-20,42274012
2021-09-21,42403987
2021-09-22,42551480
2021-09-23,42679344
2021-09-24,42819355
2021-09-25,42870947
2021-09-26,42905182
2021-09-27,43099971
2021-09-28,43213311
2021-09-29,43341823
2021-09-30,43458032
2021-10-01,43583808
2021-10-02,43628030
2021-10-03,43653869
2021-10-04,43826568
2021-10-05,43925170
2021-10-06,44051125
2021-10-07,44156527
2021-10-08,44269453
2021-10-09,44306787
2021-10-10,44329826
2021-10-11,44453506
2021-10-12,44565082
2021-10-13,44671639
2021-10-14,44760608
2021-10-15,44859168
2021-10-16,44892709
2021-10-17,44914861
2021-10-18,45036894
2021-10-19,45120577
2021-10-20,45207199
2021-10-21,45289145
2021-10-22,45376442
2021-10-23,45406266
2021-10-24,45423368
2021-10-25,45528929
2021-10-26,45616352
2021-10-27,45710896
2021-10-28,45797081
2021-10-29,45885804
2021-10-30,45915215
2021-10-31,45934098
2021-11-01,46058668
2021-11-02,46135611
2021-11-03,46220455
2021-11-04,46303542
2021-11-05,46395310
2021-11-06,46427249
2021-11-07,46449334
2021-11-08,46575795
2021-11-09,46658774
2021-11-10,46757836
2021-11-11,46822437
2021-11-12,46951788
2021-11-13,47013185
2021-11-14,47036794
2021-11-15,47185418
2021-11-16,47275904
2021-11-17,47390261
2021-11-18,47500534
2021-11-19,47620182
2021-11-20,47661246
2021-11-21,47692618
2021-11-22,47851516
2021-11-23,47944287
2021-11-24,48064179
2021-11-25,48095032
2021-11-26,48146557
2021-11-27,48171236
2021-11-28,48195186
2021-11-29,48411498
2021-11-30,48520792
2021-12-01,48660112
2021-12-02,48798824
2021-12-03,48952069
2021-12-04,49010213
2021-12-05,49044786
2021-12-06,49242230
2021-12-07,49356227
2021-12-08,49505272
2021-12-09,49628777
2021-12-10,49793839
2021-12-11,49845184
2021-12-12,49881540
2021-12-13,50084423
2021-12-14,50201282
2021-12-15,50346558
2021-12-16,50492877
2021-12-17,50664022
2021-12-18,50738685
2021-12-19,50811164
2021-12-20,51114064
2021-12-21,51303535
2021-12-22,51547227
2021-12-23,51812442
2021-12-24,51996367
2021-12-25,52054715
2021-12-26,52244429
2021-12-27,52787969
2021-12-28,53168681
2021-12-29,53657745
2021-12-30,54242800
2021-12-31,54689367
2022-01-01,54850427
2022-01-02,55137064
2022-01-03,56155999
2022-01-04,57041905
2022-01-05,57745969
2022-01-06,58505187
2022-01-07,59405357
2022-01-08,59851597
2022-01-09,60166932
2022-01-10,61600909
2022-01-11,62370837
2022-01-12,63251111
2022-01-13,64120526
2022-01-14,65053852
2022-01-15,65477079
2022-01-16,65814886
2022-01-17,66526937
2022-01-18,67705340
2022-01-19,68557295
2022-01-20,69305615
2022-01-21,70130930
2022-01-22,70468314
2022-01-23,70667795
2022-01-24,71699954
2022-01-25,72210867
2022-01-26,72895313
2022-01-27,73425577
2022-01-28,73981352
2022-01-29,74223465
2022-01-30,74327523
2022-01-31,74989495
2022-02-01,75285900
2022-02-02,75610929
2022-02-03,75923171
2022-02-04,76236151
2022-02-05,76359918
2022-02-06,76418395
2022-02-07,76766514
2022-02-08,76961010
2022-02-09,77187359
2022-02-10,77360952
2022-02-11,77530775
2022-02-12,77594737
2022-02-13,77629125
2022-02-14,77835449
2022-02-15,77950961
2022-02-16,78092141
2022-02-17,78196006
2022-02-18,78305615
2022-02-19,78351826
2022-02-20,78377993
2022-02-21,78433652
2022-02-22,78556769
2022-02-23,78641313
2022-02-24,78714719
2022-02-25,78800705
2022-02-26,78825927
2022-02-27,78835013
2022-02-28,78942813
2022-03-01,78986396
2022-03-02,79044542
2022-03-03,79096279
2022-03-04,79145866
2022-03-05,79162481
2022-03-06,79169256
2022-03-07,79232308
2022-03-08,79266324
2022-03-09,79314028
2022-03-10,79352221
2022-03-11,79396596
2022-03-12,79407518
2022-03-13,79413908
2022-03-14,79462956
2022-03-15,79511352
2022-03-16,79550748
2022-03-17,79586734
2022-03-18,79623203
2022-03-19,79635322
2022-03-20,79643175
2022-03-21,79689310
2022-03-22,79714979
2022-03-23,79762066
2022-03-24,79799812
2022-03-25,79833549
2022-03-26,79845604
2022-03-27,79853102
2022-03-28,79895338
2022-03-29,79920966
2022-03-30,79966408
2022-03-31,80004185
2022-04-01,80036620
2022-04-02,80048015
2022-04-03,80052942
2022-04-04,80093982
2022-04-05,80124875
2022-04-06,80174198
2022-04-07,80209904
2022-04-08,80254009
2022-04-09,80267530
2022-04-10,80275715
2022-04-11,80325700
2022-04-12,80354734
2022-04-13,80408643
2022-04-14,80466106
2022-04-15,80513724
2022-04-16,80524627
2022-04-17,80535906
2022-04-18,80595982
2022-04-19,80646004
2022-04-20,80708901
2022-04-21,80768167
2022-04-22,80836264
2022-04-23,80855181
2022-04-24,80867572
2022-04-25,80942184
2022-04-26,80996837
2022-04-27,81081307
2022-04-28,81154876
2022-04-29,81236707
2022-04-30,81259033
2022-05-01,81274401
2022-05-02,81370245
2022-05-03,81439579
2022-05-04,81541529
2022-05-05,81634962
2022-05-06,81730174
2022-05-07,81760532
2022-05-08,81772325
2022-05-09,81884978
2022-05-10,81978601
2022-05-11,82140136
2022-05-12,82255493
2022-05-13,82369958
2022-05-14,82395023
2022-05-15,82414462
2022-05-16,82564280
2022-05-17,82698373
2022-05-18,82867288
2022-05-19,82988450
2022-05-20,83128466
2022-05-21,83165773
2022-05-22,83187760
2022-05-23,83320644
2022-05-24,83453009
2022-05-25,83640539
2022-05-26,83765180
2022-05-27,83904091
2022-05-28,83917853
2022-05-29,83926898
2022-05-30,83959050
2022-05-31,84141433
2022-06-01,84360700
2022-06-02,84472070
2022-06-03,84614282
2022-06-04,84657932
2022-06-05,84674411
2022-06-06,84811514
2022-06-07,84954327
2022-06-08,85133541
2022-06-09,85251252
2022-06-10,85387293
2022-06-11,85422666
2022-06-12,85441059
2022-06-13,85566462
2022-06-14,85701877
2022-06-15,85873952
2022-06-16,85978149
2022-06-17,86094706
2022-06-18,86109471
2022-06-19,86124078
2022-06-20,86178274
2022-06-21,86388012
2022-06-22,86558894
2022-06-23,86675387
2022-06-24,86830946
2022-06-25,86878615
2022-06-26,86896853
2022-06-27,87029092
2022-06-28,87151380
2022-06-29,87347743
2022-06-30,87471461
2022-07-01,87623722
2022-07-02,87636042
2022-07-03,87642903
2022-07-04,87678565
2022-07-05,87859451
2022-07-06,88100156
2022-07-07,88224768
2022-07-08,88392827
2022-07-09,88416413
2022-07-10,88438982
2022-07-11,88614311
2022-07-12,88798580
2022-07-13,88990197
2022-07-14,89134380
2022-07-15,89304262
2022-07-16,89325304
2022-07-17,89347275
2022-07-18,89517723
2022-07-19,89678594
2022-07-20,89884217
2022-07-21,90037728
2022-07-22,90203417
2022-07-23,90227668
2022-07-24,90249168
2022-07-25,90416871
2022-07-26,90581106
2022-07-27,90808119
2022-07-28,90957226
2022-07-29,91096522
2022-07-30,91108489
2022-07-31,91119354
2022-08-01,91296080
2022-08-02,91404290
2022-08-03,91622134
2022-08-04,91786865
2022-08-05,91918779
2022-08-06,91929347
2022-08-07,91939428
2022-08-08,92074840
2022-08-09,92213737
2022-08-10,92388899
2022-08-11,92526488
2022-08-12,92648256
